,number,phone_no_m,busi_count_1908,busi_count_1909,busi_count_1910,busi_count_1911,busi_count_1912,busi_count_2001,busi_count_2002,busi_count_2003,busi_nunique_1908,busi_nunique_1909,busi_nunique_1910,busi_nunique_1911,busi_nunique_1912,busi_nunique_2001,busi_nunique_2002,busi_nunique_2003,flow_1908,flow_1909,flow_1910,flow_1911,flow_1912,flow_2001,flow_2002,flow_2003,label
3103,3103,02d130a0d599d2c3a53c2d0327d1c6dc8c87261f48612033dc6bdfb191854d555e187fb17a93d768d69552861ac2517a3c670b26b32dce43a8fdcb7350913490,,151.0,208.0,216.0,235.0,115.0,113.0,124.0,,145.0,205.0,216.0,233.0,114.0,109.0,122.0,,6830.425763130188,12298.607689857485,12636.678421020508,8803.43252658844,8153.931765556335,7854.127886772156,9372.220419883728,1
3104,3104,96a0d2e2b0a6ad896d1f8307b92ca29aa4256c27f424ef1bd196b65de7dc120c46678ce1c5cd83a60fecee1521ae0215554347af67fcae7fdd388c5cfcbf3f85,2.0,0.0,3.0,,1.0,,,,2.0,0.0,3.0,,1.0,,,,0.1426687240600582,0.7871618270874022,0.1547374725341793,,4.454017639160156,,,,0
3105,3105,64029c5e45ef1683c0b260f05aa083f679c1493324eb2bc5d952e79a61639c68475bfd45f8e6b44eb85353efc1c6b491f14d3bd14006a2f662c2cf303b4c971c,55.0,68.0,82.0,60.0,71.0,83.0,77.0,57.0,55.0,68.0,76.0,60.0,71.0,74.0,66.0,49.0,67.03641033172607,355.1871089935303,265.8194398880005,249.016037940979,666.4285745620728,410.70887184143066,286.64860439300537,73.52367401123047,0
3106,3106,478cedae113d8142127bf92c932d685b94df2ff0326d843f57c9474b19bc53b719ca31beaae59f817df7bd995aff680289aebff652c2cb12b13a0a5afadae33d,72.0,48.0,63.0,25.0,35.0,56.0,1.0,61.0,66.0,48.0,63.0,25.0,35.0,56.0,1.0,61.0,65.42030048370361,42.1087646484375,182.11066341400144,22.7633113861084,28.53656482696533,73.63296127319336,7.331151962280272,104.73590660095216,0
3107,3107,9c3b4a8f8e68eb408f535330481e20e1546ec50bcf645386d5ae301b3b84329492fd4feb46480e1dd59538961435212211e06f3ba0247e857913d91abe82bf90,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,0.000457763671875,0.0080900192260741,,,,,0
3108,3108,fda78f3f1d3f92612806457f1eab4864ba8021e8cef3e47c01a117fa79b2a6a82226b72bd4f34e6251db31c54e75fadd1aa89d22077f5fd3ee016d1953b1baa4,0.0,,2.0,3.0,3.0,6.0,3.0,4.0,0.0,,2.0,3.0,3.0,6.0,3.0,4.0,0.0012578964233398,,0.0962848663330076,0.2774353027343748,0.2616853713989258,0.3891754150390621,0.4109516143798826,0.5548210144042967,0
3109,3109,8f5973f77324fe1b90f61ee03f5d1d890cc100c501d0a9d7342f7e40c19f7ad957b0d978daaa294fbb696633cb8f2a7ab031b3d15b9f0592d7cc65d208e57962,59.0,,,69.0,83.0,88.0,59.0,79.0,57.0,,,69.0,73.0,79.0,59.0,65.0,336.64234924316406,,,2679.8858757019043,1046.6359663009644,1163.3763256072998,387.5056018829346,319.09596157073975,0
3110,3110,027077753f16a2e024ed30549d355440821c00326ebd7f981067f3456ef75efa683e93a9e1230fc3f0f68846b8e2c1f43c03d010caad81dbf97fbe5835021b55,150.0,122.0,102.0,118.0,122.0,172.0,0.0,0.0,146.0,122.0,102.0,118.0,122.0,167.0,0.0,0.0,1517.5270719528198,1993.2244682312007,1591.2464790344238,1229.3753423690796,1981.6581029891968,5056.168147087097,0.0129470825195312,1.4985275268554688,0
3111,3111,07ac142d3b7b6e49c6ea9d5b650235e1b1d039d18dfed0cf995768ac558b02a334dd2916fa721a33437e0249592dac256c265aa98fe0a8210298cb668e7ead30,,,,,,,,16.0,,,,,,,,16.0,,,,,,,,133.04362678527832,1
3112,3112,80b71acf4955381b0c1d0e03bb492628881c5ca7cb65292000b613ecf1cca4a052649ed3033f0570654639b654bdfdcdd0987f4fbb23c5a4582aad9f4ba983e9,2.0,2.0,2.0,1.0,1.0,11.0,18.0,12.0,2.0,2.0,2.0,1.0,1.0,11.0,18.0,12.0,5.615955352783203,1.4693880081176758,0.8842964172363281,0.103860855102539,0.0312423706054687,3.3634395599365234,41.22400379180908,2.6718072891235347,0
3113,3113,0c23460e9ef0b5537a29ea92aca50bd8760728f7d04def8978afcfab16041caf0c62f393eed72e19c6e4b1489246678b2df1d36ce584ccc76d37a4747f35e537,77.0,59.0,29.0,25.0,65.0,51.0,62.0,90.0,58.0,49.0,26.0,24.0,64.0,49.0,53.0,88.0,702.3691072463989,119.83716869354248,6.819091796875,6.182663917541504,153.5399398803711,26.254340171813965,92.07369804382324,746.6619453430176,0
3114,3114,43f9f4a75938f0aae9e25dfb833d7139c8c79acc06c33a4060f2c41fdd4df8fc3746ce692a6a6ac1deebcfcd9c9785682120473262ce3e6f7d0048637b85376f,,,,,,,,,,,,,,,,,,,,,,,,,1
3115,3115,75d98d82d7e0e48094aa8a0abb7c87b1d6fab2fe9b2aae35b7fc66794d606ba86042ad5c6af092845c49e2105c8ebe6581de9f5dd891542d7988ef8cbf91a5aa,134.0,91.0,96.0,71.0,75.0,74.0,14.0,5.0,124.0,84.0,94.0,71.0,75.0,74.0,14.0,5.0,2862.911747932434,738.2812461853027,462.4665899276733,268.2155742645264,250.27201652526853,116.86329650878906,0.7144374847412103,0.045849800109863,0
3116,3116,4620da16029224607debdc5f7aba2ef2f3f893d00c16666bf060ab0e97ba9ef696cf8b3f01aca90e6b63d160bf18ef5bcba72ab7759991d2c3b3b5c7eead3eba,23.0,136.0,138.0,31.0,100.0,33.0,105.0,112.0,21.0,120.0,133.0,30.0,88.0,32.0,100.0,103.0,6.376340866088867,9216.75295829773,9972.141072273254,3.906718254089356,3984.2320489883423,17.97431755065918,4275.796553611755,8288.953923225403,0
3117,3117,58af070b0e7a53e13b1ea3b0d236bd14c0f2b085b81e44ab523a3cf8f1b9fbc34dd65d8dbc8b698162f35f712e946605dc0df849b85d6f633770a0f0d803b436,108.0,90.0,155.0,113.0,106.0,95.0,114.0,92.0,96.0,77.0,136.0,101.0,95.0,80.0,102.0,78.0,1751.199909210205,1433.670428276062,4451.455570220947,2783.1357803344727,4321.8554039001465,3727.074069976807,7059.459499359131,1996.1508588790891,0
3118,3118,c6dc7efba0021290bea57b6cb84c5af429b24c48fdc08e56afeb35bbe6de6f6d1a3089dd3a1018b7d8d5552219df42ee07d95be743143679038571f7e8061a09,77.0,133.0,113.0,141.0,168.0,117.0,115.0,127.0,71.0,131.0,113.0,141.0,168.0,112.0,114.0,125.0,1237.063988685608,18722.002928733826,9460.228470802307,11543.741604804993,12533.794805526732,7449.813247680665,11124.374564170836,10991.383892059326,0
3119,3119,dba1922d52c5385ed763b374938d2c7a49e931e09d2e923ab4b4f1290fe4cd9a1166a0294b845896f155b15bdde41cf27c8a7aa29adfbed672aff260b66da687,,,,,3.0,14.0,8.0,8.0,,,,,3.0,14.0,8.0,8.0,,,,,14.690262794494627,23.78965759277344,4.27939510345459,9.635744094848633,0
3120,3120,e75912b075cac0552613f05017e04e7ba6d754394b0b43565592767873e55ac17e7b28343ba058ee12df2091faf104c5705b8b1a798c6cef6c71035e0ec89019,132.0,147.0,181.0,168.0,154.0,128.0,82.0,174.0,132.0,146.0,181.0,167.0,154.0,127.0,76.0,174.0,6321.976894378662,6520.7551612854,15787.76919555664,7939.458965301514,8744.842209815979,5838.417496681213,823.0916042327881,9747.716213226318,0
3121,3121,b2fcdb8e0226777e71b3352846f7acd8c49d8fe4a8fd0c8de0b02849603ac07f12693e3ca4cfd276623c3791d886de80fd67136aa967d967b863340a771a2729,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,0.0156669616699218,0.0274877548217773,0.0272159576416015,0.0280685424804687,0.0094327926635742,0.0117330551147459,0.0096721649169921,0.0282173156738281,0
3122,3122,bb4009294696b49f286627c72ba2cb403644b49707486116fc6b235344e650569ebc4e82c74fb5abf0b6c42a01014489c3c6e9697bad5d26acf8d90d6fe98166,,,,79.0,3.0,11.0,10.0,42.0,,,,79.0,3.0,11.0,10.0,42.0,,,,700.4491376876831,0.1274089813232421,4.747829437255859,0.6122169494628901,81.46670055389404,0
3123,3123,f851f816a4f9c9431d3f83a3af184eb7a6fce18887c7240c845efc636bf7c24168602a4fb26131485b1a74c50a555b798f97440597282358957905008a55fed6,4.0,,4.0,5.0,5.0,7.0,4.0,3.0,4.0,,4.0,5.0,5.0,7.0,4.0,3.0,0.25527286529541,,0.1373558044433593,0.1612205505371093,0.206693649291992,0.1568574905395503,0.110608100891113,0.1676845550537107,0
3124,3124,74b1533fd7596654ecf8be09db8b7ad7fc1e89b8424424d125cd9d8c1c5e733c163ac36ed9a24ee1864baba01440ca30eb72eae422f97279940c24afd1b7be7f,1.0,,,,0.0,,,,1.0,,,,0.0,,,,0.0116386413574218,,,,0.0010042190551757,,,,0
3125,3125,804467f74145675698a8db91f0167aba78aa754c55786120a78a73ce92fa0d7d5eca94e8c46e783d261807d104138b39eb55c106ce72f43968a4fa498567b85b,248.0,217.0,225.0,210.0,15.0,,,,227.0,201.0,215.0,198.0,15.0,,,,9504.572561264038,6924.4571714401245,13404.10531425476,6256.964718818665,263.4900760650635,,,,1
3126,3126,0d023eb15a4d27d041d08b4e7907ce09fb5c246bd7b9c59d3d7d289654b4c1d68d5783e12516ba285fad693f2a47d629279306f833024739f04f9ef4bf4ead0c,203.0,175.0,168.0,122.0,127.0,105.0,130.0,189.0,189.0,169.0,160.0,118.0,127.0,102.0,110.0,159.0,24158.02644920349,34955.82301902771,21198.060156822205,2279.0303449630737,4224.90313911438,4907.804071426392,5262.895899772644,14108.557406425476,0
3127,3127,48800c669ba813087ee9f2866bbdae77ba83b4037167fd915833e989715e6a10ee699f9a1a49d670c2bd973433233ff419bf444ce01923ef63e2094b6a16c061,,,,,,,,15.0,,,,,,,,15.0,,,,,,,,137.44666194915771,1
3128,3128,9568275befe511693b642452181dbd7fe2dc9e6817d01e4eb970a55654b165b2db91576281a6b2a2eee1d83800e7094a9033611f17891f4d9933946efc00058b,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0046520233154296,0.0049047470092773,0.0091991424560546,0.0045633316040039,0.0010385513305664,0.0075664520263671,0.0013885498046873,0.0085325241088866,0
3129,3129,2613de5565382ef8adf3fd4c6c29a26c4820341502d56921376b99c16d56dab1508753c023ff231a8b664e347a1152ad82b5d4f7294d8294586eb74c4ebb5bed,119.0,102.0,143.0,103.0,131.0,177.0,149.0,147.0,114.0,102.0,134.0,103.0,131.0,147.0,110.0,118.0,1249.778549194336,908.0658197402954,1569.4820680618286,1032.6762075424194,1628.9264736175537,1359.290843963623,1016.60000705719,963.568034172058,0
3130,3130,55a1bad66603e1e42869a01eddaf3f7a5f6a5ea6ed0184d242ab99acb26a73f2cd3b143bd30b99867d019430759548a3535049517bbbe18f434e295b2b1e6574,,,,29.0,48.0,39.0,10.0,1.0,,,,29.0,48.0,39.0,10.0,1.0,,,,73.82471656799316,30.11248207092285,56.669071197509766,1.1616506576538086,0.0287008285522459,0
3131,3131,a218c162dfa895264b4d52bb7b5857fc21c979ca9b498f7a783fb00b11784bb0b5c93234bc9f37a6e3bac2a312356bc893648688d534aaaaca26414c5f554ea0,,,,2.0,,,,,,,,2.0,,,,,,,,0.0087699890136718,,,,,1
3132,3132,1098dc9911004ce2103ccbfdfed0e94c695b0f2b4d3d72d18650f68793004f18452fc7c198c8f06f1c5600d0f94c857dda13cd602faf991d51c1f2940392e2ae,,,,,,,,,,,,,,,,,,,,,,,,,0
3133,3133,94f1b0e6ae2c6c03b036d5f5a621207af2c8830ed14317c1fd68d1069a6f1e51c10696366f4b708d7e78a78ad9765056d538f2f0c670f042764ebf949dfac6a4,,,,,,,,14.0,,,,,,,,14.0,,,,,,,,0.711990356445312,0
3134,3134,dc594fc7a7c39523b5d542f2831a129ec1794ff55138106efb3d7f2c0313ebfd1c8550db53ab69fc39e104ef509276654f9a03c2493e5fa0e1f78815df3674d6,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0815753936767578,0.0748958587646484,0.0637760162353515,0.0746278762817382,0.0895490646362304,0.0321331024169921,0.0090866088867187,0.1010446548461913,0
3135,3135,4eea46481be8d50012190b97bf392b239392254c9ff62fac4e0992cb9311a136f82ddcaff926e303dc24c98c8500f2125711625b06ca16d7ef888b65260c428b,,,,,,,,,,,,,,,,,,,,,,,,,1
3136,3136,d9b484016d658ccc427195163bc5650a606aab5f68c6ac3780618f6aa260c9b1df629a7b985ea510ca1a2851792ce16983c2be67a7f7e52fb94de4587c671f8d,3.0,2.0,4.0,6.0,7.0,3.0,2.0,3.0,3.0,2.0,3.0,6.0,7.0,3.0,2.0,2.0,2.1373825073242188,2.0476512908935547,1.876673698425293,8.744572639465332,50.02520179748535,2.205876350402832,1.6631393432617188,4.977732658386231,0
3137,3137,d687eeb57e57e77a772466d9f1e175a6b6fc29305b4c8daac0c17002fe7c2e2abecb11a71297b87d5410689040af52978497b36c512f575fb07bdabcb927cf94,2.0,1.0,,1.0,,,,,2.0,1.0,,1.0,,,,,0.4848899841308591,3.497688293457031,,0.0109367370605467,,,,,1
3138,3138,64f30f5ccf6e051acd756e42ecfaf9da129dcc2d0eb3a3bae6d0f8c65e3ed61b0ed8f6511d4aef028e663e333f68f26622d4920764b604093d0eae6ea54af1da,,,,,,,12.0,122.0,,,,,,,12.0,116.0,,,,,,,52.37049961090088,1328.7552795410156,1
3139,3139,1f970436489e18ef2ee57230cf473b9ad33703c3d526cd7dfde4b3734f3adbeda58be8e4c3c82238c76826667c7ca7763111e5f9b4dd3e354e2c1f6df12b5e0e,2.0,3.0,2.0,2.0,2.0,5.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,5.0,3.0,3.0,0.0382986068725585,0.1169023513793943,0.1730670928955077,0.1221256256103515,0.2089958190917968,0.1262073516845699,0.0831480026245116,0.0488929748535155,0
3140,3140,39b48800fb501fed5a6e7098612bb40829ca881c81c342b3de69a3c868bbe1bef77556537801c5f77b9158c5f336b01174d139c5245beb3e7fc6686a3abccbe9,64.0,64.0,59.0,32.0,19.0,32.0,51.0,57.0,56.0,58.0,52.0,29.0,19.0,29.0,43.0,49.0,605.882942199707,157.65192794799805,411.4921951293945,101.95842456817628,5.181308746337891,20.65777015686035,317.5337829589844,340.98377418518066,0
3141,3141,328ac87379ac1249798d84b603913bf51e486fe6f70ac0c551c4eae23904d6821b3507d4f87cf81d576e06b97392b8efef9bcd341ea3ea432c362320e87bd834,171.0,,,92.0,176.0,171.0,122.0,96.0,162.0,,,92.0,158.0,147.0,105.0,84.0,16467.23967075348,,,4972.539394378662,42887.97801589966,26551.29846763611,47035.40674304962,9155.878050804138,0
3142,3142,61220a55eb3e4edeee17cf82bd91b901f8de25dc87c04c4e6354b408f69dd9e1d26a4bf4cb44fdd60847178b2b5c40de2318aa3af447d2ba190b89c4656c36b3,106.0,53.0,100.0,8.0,96.0,135.0,97.0,111.0,106.0,53.0,100.0,8.0,96.0,126.0,86.0,111.0,7148.170906066895,96.5452995300293,2723.376196861267,0.6184577941894527,2537.692150115967,8636.610076904297,3358.294933319092,5750.420957565308,0
3143,3143,b0ad661a98aaca77f40abd53d5219267075dea5cc0e664b5b52161007e870f8aa6231be8626d503eb746a6b6c10bfe7689de20008446b2051ae5b507d2aeca3c,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.6372251510620115,1.2184381484985352,0.8718614578247069,3.83294677734375,5.77318000793457,0.5644540786743163,0.149651527404785,0.0285778045654296,0
3144,3144,d40246160a6b0bb474488bacb596892bc64615a621e6c5e84b4b23fe02ca6b4322ef55dbd4ce7835a5e9c6f3c9fc2338dc7b88af93bbe1d6220664367e266b0d,157.0,146.0,149.0,5.0,171.0,140.0,175.0,154.0,147.0,135.0,138.0,5.0,159.0,135.0,167.0,144.0,4570.455454826355,4551.633850097656,3165.151683807373,1.6303586959838867,6436.398984909058,10353.04461479187,4095.870238304138,1756.663152694702,0
3145,3145,f0597ff6e173e9ca47301209d1698bc4d1cdfc2b48f2b1b9d057bb83b5fd16b2e2866fc0969a320dcd42f994631d5d3f49aae973d34a9c7721149dc08e6aa320,2.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0,0.1290912628173827,0.0738315582275389,0.0948600769042967,0.0558643341064453,0.0550956726074218,0.167828559875488,0.0552549362182617,0.0468959808349608,0
3146,3146,6e915d34435ed4efee8fb91428459e84b3805b1ea57645f1eeee023b13a6da3daf68ce46d39e5544aa973fa9b420033a1b1376382360a4721e14027378af5eb3,35.0,,,60.0,,,,,35.0,,,59.0,,,,,83.10754776000977,,,69.1912317276001,,,,,1
3147,3147,0e1a3e7991edf83273b586900ec9ef8c325c3cc94a3fba1484816eb8cafd61a250c97c5cdfab5970333524f2d963df5e39ff413b0b9c10d3f9e65c97a6b39000,,,,,,,,,,,,,,,,,,,,,,,,,1
3148,3148,43f3a27a3e0c648b512400dab7751b45a5477e1b8095cc2117297d6a2daa8f79478829557d721ce554a7c5e171eedc9292515506656fb5aa487c190e09e264ea,3.0,5.0,3.0,5.0,4.0,7.0,4.0,4.0,3.0,5.0,3.0,5.0,4.0,7.0,4.0,4.0,4.723899841308594,6.570775985717773,7.186234474182129,10.582208633422852,7.919252395629883,6.727359771728516,5.044939041137694,4.795389175415039,0
3149,3149,d1bb6ba59d40a5806a26f0fa5a2c9a359126221f3c81d8dd32abacf7f0b078258fdcaa67ce2dc974075f5d6356b09662de1ba79eda26a6cb6d0807b2384525f3,116.0,121.0,117.0,128.0,152.0,101.0,,,112.0,121.0,117.0,128.0,152.0,101.0,,,24343.14588832855,21073.68363380432,14146.004426002502,12584.895260810852,19170.87699985504,8611.886365890503,,,0
3150,3150,c4e9eeb1d3ac8d1daea27664b3cccd1cad02def3b29585f4855efa03ee255b28a918980b6076a58bf95c915803cd382a07a4d3133392a9c577d3dd7f3345986b,,,1.0,,,1.0,,16.0,,,1.0,,,1.0,,16.0,,,0.000629425048828,,,0.0400543212890625,,3.839299201965332,0
3151,3151,ff38c16b850b680e82ba7aeec483b5431b0a443a1c197899c2ec3651cc1e4e1a1020f6e5b689266f8847e5e302bc93088d98a912f2eddc38268f37a773e2c227,,,94.0,91.0,69.0,91.0,46.0,96.0,,,85.0,91.0,69.0,89.0,46.0,91.0,,,1074.7106800079346,3134.4079456329346,6629.538300514221,14269.477294921877,1390.4250459671018,17815.87560939789,0
3152,3152,9f10a3d2482724e77e1ae8ee904072c5f1b47c9c3387fc67c5001c365de1d7d45b3219138a8657612c0b63362a74f0ccdb0fe40760969a1380e0b26332ec23c8,88.0,108.0,106.0,105.0,68.0,86.0,63.0,60.0,80.0,105.0,100.0,105.0,68.0,82.0,61.0,58.0,5117.906898498535,4955.135818481445,4524.18377494812,5643.856974601746,6230.298484802246,4969.429420471191,2057.6282987594604,3622.082244873048,0
3153,3153,40b8e2cfbec3375c9ab11d2a3ed2fb0735613cbaabdaf604b820d88ffad6a5595cf9487f176413156b7dc967acd91eae67ac168a5374298112cdbab3f6dd99f1,,,,,,,,,,,,,,,,,,,,,,,,,1
3154,3154,b286962f1f14f39443032c4ac75b133d6df6e69cbce39df4030863114c1163ad548b7266c8cc62d0814c13c0f972a60ee2b40d987307a2f52226d4068bdf6b5e,72.0,78.0,83.0,60.0,71.0,59.0,46.0,60.0,65.0,72.0,75.0,53.0,67.0,52.0,43.0,52.0,308.547568321228,439.2972898483277,323.9253873825074,1310.123631477356,686.5254774093627,299.15087032318115,290.4532079696655,183.9904432296753,0
3155,3155,2916c4f1ab37dc615f92a2f1c6e14549653483ec993650a47b53f9069fdc68b04847d8b6141e3d783d3cda9f229808b858d0dbdb3f195883b10a6786ea855eaa,,,,,9.0,,,,,,,,9.0,,,,,,,,400.2872800827026,,,,1
3156,3156,be4b75a38634a842eb1e0fceb59d85717d19f9e7bb737d5eecfd6be41b6c561fbd0c4f7e5b9e5e17140e896f484ea1f7939bb6dabe7b1ac179827848482c46be,,,,14.0,,,,,,,,14.0,,,,,,,,38.203863143920906,,,,,1
3157,3157,8fa0c7a28d0ee92a59c26e881130eb1e829588c7aecd9a69fcc77810758316877244224b4fafd690475335794a7c5ded46c62e6f1c4d3e55c35f282f13788549,,,50.0,,,,,,,,48.0,,,,,,,,145.76816654205322,,,,,,1
3158,3158,c9d3750a79a1411a02472678eb8d96a052e9dfaccd4ae20e2458aa23eae473edc3f4c31ede8ba4610afac2a6723d45a95653e67d5af0b2332652e9d3e8f686fe,,,,,,,,,,,,,,,,,,,,,,,,,1
3159,3159,cf8ba8314c903c9ea6eeb08f4db8349c20bc8329d74a96bbe9803423229464df6d19c231b67a4fd3b86a9ed2808c4dc5167f977c4122208d06c36911e46d47b4,,,,,,,,9.0,,,,,,,,9.0,,,,,,,,0.1045494079589838,0
3160,3160,b778276cd5b4eeaebf55afd3551afb78816ad782d566cd33c908b4bffcf64742274861d7d4c9be8ccab4c0d6b6d4b525a2ef89347052e0c26ebe76e5f7720ac2,,,,,8.0,34.0,,,,,,,8.0,34.0,,,,,,,195.0076761245728,298.75201892852783,,,1
3161,3161,3c150407f45c3066e129e403889be6b7b5b3b8c0dddc3f2c90e8c20aa4d436ff54057c9d00634be9bdacce36df7bcd001d18275faff423e89c99b7a5254e6674,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.136467933654785,0.1308584213256835,0.0154533386230468,0.0737628936767576,0.0940246582031249,0.0340633392333983,0.0123977661132812,0.0934810638427732,0
3162,3162,52c085ab3eb1f7a5f93b69137666c5e66f146810d844c38e358ea4e2f3ff62db2af0096c6a7bbbe46e3ca47a2c8aee67f8dbd9c4d5d445f06d68c16d36b83059,72.0,91.0,113.0,108.0,115.0,58.0,32.0,55.0,72.0,91.0,109.0,108.0,111.0,58.0,32.0,55.0,51.97521781921387,1578.7554244995115,9886.899564743042,4172.895021438599,3274.2212772369385,33.38658332824707,10.779617309570312,41.77725982666016,0
3163,3163,ad1e03b6683efbc8e158240fa28b53fa19f956ff2558e004afbbbd79e08d09bdfad831ccf9f651335c6568aa25c3ff5c3aa6de4f54591805f1a3a5827f4ba073,,,6.0,,,,,,,,6.0,,,,,,,,0.4849586486816402,,,,,,1
3164,3164,5a7a08f6cbbc3455ad47ead7500551d3e43f004f01d5cc2adaf33b7023ad5bce3426eb18159aa7d345ac1d84107e7f3d66404c88de374d2302945c8e18f881a2,21.0,0.0,,1.0,1.0,1.0,3.0,3.0,21.0,0.0,,1.0,1.0,1.0,3.0,3.0,134.02387142181394,0.5108442306518555,,0.0986576080322265,0.111727714538574,0.0482006072998045,2.388147354125977,1.4142913818359375,0
3165,3165,813087f7ec3c3622dac96ef9bd1f90fab856375abb3cbc724ff14af5c375abd5faefc6e9ae35df95c3058f4cae11e6d3d996ab6a44fd6ee76e61c4d9bab15c07,129.0,90.0,41.0,110.0,,,,,122.0,83.0,41.0,97.0,,,,,3609.113713264465,1648.8849983215332,138.8064002990723,1636.7461490631104,,,,,1
3166,3166,b384adde0db3c795bc602dd92692e22aad435f975081ad73942318b4bd67292ed9dcbf1c0905ee117c7c1a4bece7f97ffac1fa162e834bb837467d76bcd197b8,3.0,2.0,20.0,30.0,3.0,3.0,1.0,15.0,3.0,2.0,20.0,30.0,3.0,3.0,1.0,15.0,0.0192298889160154,0.0116634368896482,5.4202880859375,29.273354530334476,3.2967662811279297,2.252991676330566,0.0060338973999022,7.867143630981445,0
3167,3167,574e53a77f0eb5231063400a394b4b906ec0b34952702a8c038e8c23d250688071c6959791788ce08bd07f30d610340ebb5d707f13acaf764c6f962d6a8bbdba,141.0,162.0,155.0,124.0,168.0,145.0,100.0,139.0,140.0,150.0,147.0,115.0,151.0,137.0,98.0,134.0,5012.468909263611,5394.093880653381,2878.0898828506474,3437.815460205078,2696.522506713867,4215.661335945129,1847.993266105652,5162.141883850098,0
3168,3168,75499582ce36fbc1e45b9b489972f76318daadf129a1de1d51c8c9cf41f49a96cd19084774b484f7ae24d640b84e84eed8924a97d456a889ec69fabdbc10c3be,,,,,,,12.0,13.0,,,,,,,12.0,13.0,,,,,,,0.1566343307495109,1.6937093734741209,0
3169,3169,4ae63fc7f1524ad15eee70f0c8d2d0e4a4bc420c16b3d66c4b1c0790ad4c94b688ea949821d9bf0938396d7cb987ef178db02691972d325cde1e116cf00eb134,,34.0,28.0,14.0,12.0,16.0,3.0,4.0,,34.0,28.0,14.0,12.0,16.0,3.0,4.0,,181.4304332733154,378.5331954956055,1.1251621246337886,0.1630802154541011,0.5874195098876944,0.0359497070312498,0.0082111358642575,1
3170,3170,ae6ff26c2af499744d355f1223a391fb60475f74ffbd5744d7114ac68cfa660eafe9a5637d552652f4c6dc5579f7adf80c62b1dacf8df56402e53fb85dcdfd7d,,1.0,2.0,1.0,3.0,3.0,1.0,2.0,,1.0,2.0,1.0,3.0,3.0,1.0,2.0,,0.0090351104736327,0.0010375976562499,0.0294265747070312,4.013474464416504,2.7794618606567383,0.0117073059082031,0.0010414123535155,0
3171,3171,e10bbe23c4fabdf9981145d526739bfef1f7960b45b68378690ce84cd50fb5716076150c79148b6f9a68507fdce53c8fbc5670b8188dd78ada4332ca583cb022,239.0,192.0,157.0,181.0,179.0,163.0,211.0,168.0,230.0,188.0,153.0,175.0,179.0,158.0,203.0,157.0,17850.85950565338,16622.889177322388,8160.136464118957,13622.226868629456,11740.716499328611,9464.077186584473,20354.679641723636,16956.680495262146,0
3172,3172,e51819e95e80d5c5f00c1751d12d8af0e33e903bad202bb2abe0ab50cf85cff01696977bc80c24d4c725491cd07f4dbf0219b41bd4033a6872b2efc7dcf0f1da,,,,,,,,,,,,,,,,,,,,,,,,,0
3173,3173,3fb3de0b2ad6c03f20d335e2b1ed13acb03151218c2a019d5245679a5694a37a5d65c00b18500c51f65cf02755663e7135e3e89afb981f69c931445046a7ec1a,263.0,201.0,227.0,179.0,190.0,208.0,131.0,182.0,251.0,187.0,215.0,172.0,189.0,204.0,130.0,175.0,14563.990023612976,8268.037391662598,20103.90292263031,9672.177558898926,7933.089883804321,8794.231834411621,1872.2664594650269,6357.761654853821,0
3174,3174,5b32acb642b897241551b5340595bc5d8b5878001a5c84e707143ebc257cb2fc749da7d880c1d7c67e9ee405aba9e81c1b676068118baac0fd925c7e6933aadc,,,,14.0,,,,,,,,14.0,,,,,,,,28.21709632873535,,,,,1
3175,3175,45000ff7434aac02d763c7b3b95d0cd4b113eb7dc0deb3a9a2c6cf76a03c82404cf4ba720a383bc7d371adcf30344e8ddfcaa351b98567adb39154be1e60a92b,144.0,111.0,120.0,192.0,149.0,135.0,99.0,124.0,136.0,103.0,112.0,185.0,143.0,127.0,87.0,111.0,3854.499311447144,1722.4689960479736,1431.5321493148804,7575.974096298218,4910.933349609375,13393.384522438047,425.77534198760986,2997.508369445801,0
3176,3176,f19f3487bcbff0634da0a31cbe287c49c3361e60daddf158df03f8525472393732cd524fb00acd11657eca63d2c75f33ca7e5935af1924f747e5e25d2cc44ef9,163.0,168.0,156.0,169.0,176.0,176.0,203.0,180.0,156.0,155.0,149.0,158.0,165.0,166.0,195.0,172.0,19426.416460990906,12466.818260192871,30184.63902950287,28888.12156009674,25291.16207408905,31699.23367023468,23955.70381450653,25703.37847042084,0
